Sternocleidomastoid~0~0~Sterno-mastoidNeck (Front / Sides)Neck Flexors~Anterior FibersPosterior Fibers~Splenius~~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvxdon9a3Wpj_oQ370HomFX_fuXxgP4A9_T8K0D3lqvab6XlGTzBeJm9x8eQ&amp;s
Splenius~1~0~Neck (Rear),Neck Extensors~Cervicis Splenius,Capitis Splenius~Trapezius, Upper Fibers,Sternocleidomastoid,Erector Spinae~~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSefRgkx3-jr_PRFGr3sV9u-GGKuiuYdXydnnl1YQnnXTMG0v35noQGd1h34F4&amp;s
Anterior~2~1~Shoulder (Front),Front Delts~Anterior Deltoid (1 of 3),Lateral DeltoidPosterior Deltoid~~The anterior deltoid is involved in the shoulder abducted when the shoulder is externally rotated. The anterior deltoid is only a weak synergist in strict transverse flexion, assisting the pectoralis major, but not transverse adduction, meaning the shoulder needs to be internally rotated to be recruited in the transverse plane.Due to increasing moment arm with abduction, anterior deltoid is more effective at shoulder abductor in higher abduction angles in contrast to supraspinatus which is more effective shoulder abductor at lower abduction angles.~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvLtUAAiNEuyVruH8MmCw8HdLrngkUcAHSxcWV9axZlBiWmYPCaIEbjNC7zbo&amp;s
Lateral~3~1~Shoulder (Side),Side Delts~Lateral Deltoid (1 of 3 Deltoids),Anterior DeltoidPosterior Deltoid~~The lateral deltoid is involved in shoulder abduction when the shoulder is internally rotated. It is involved in shoulder flexion when the shoulder is internally rotated. It is involved in shoulder transverse abduction (shoulder externally rotated) but is not utilized significantly during strict transverse extension (shoulder internally rotated).Due to increasing moment arm with abduction, lateral deltoid is more effective at shoulder abductor in higher abduction angles in contrast to supraspinatus which is more effective shoulder abductor at lower abduction angles.~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThvZr0EBMUXM-_pApVaoX0rAr9ooDjEgg_TwiIzEyI6MCL6FF5gS95bLDAVvo&amp;s
Posterior~4~1~Shoulder (Rear),Rear Delts~Posterior Deltoid (1 of 3 Deltoids),Anterior DeltoidLateral Deltoid~~The posterior deltoid is a stronger transverse extensor (shoulder internally rotated) than transverse abductor (shoulder externally rotated). It is strongly involved in transverse extension, particularly since the latissimus dorsi is very weak in strict transverse extension. The posterior deltoid is the primary shoulder hyperextensor, since the pectoralis major nor the latissimus dorsi does not extend the shoulder beyond anatomical position (aka hyperextension)~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfskfJaK37tWFN3doSB66sOso2t76fMQVO-iZ2gdbXZxHIUVfcR1M8s1nlIA&amp;s
Supraspinatus~5~1~Rotatory Cuff,Shoulder~Supraspinatus~Subscapularis,Infraspinatus,Teres Minor~Due to decreasing moment arm with abduction, supraspinatus is a more effective shoulder abductor in scapular plane at lower abduction angles in contrast to anterior deltoid and lateral deltoid which are more effective shoulder abductors at higher abduction angles (Otis JC et al, 1994).In scapular plane, supraspinatus generates greatest abduction torque with shoulder in neutral rotation or only within slight interal or external rotation. (Liu J et al 1997; Otis JC et al, 1994).*Supraspinatus assists in external rotation when shoulder is abducted and internal rotation when shoulder is flexed (Ackland DC &amp; Pandy MG, 2011).Supraspinatus is most often injured rotator cuff muscle. The inability to smoothly abduct arm against resistance may indicate rotator cuff injury. See supraspinatus weakness.~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZgwFGblZDboB2EbHY1PkhdMMZZNpBhWq_5hZJJ2U5p_IjLafu-ammjhuaeUY&amp;s
Triceps Brachii~6~2~Arm (Rear)Triceps~Long HeadLateral HeadMedial Head~~The biarticulate long head of the triceps brachii [1 ] enters passive insufficiency through the completion of elbow flexion when the shoulders are more flexed and abducted or through the completion of shoulder flexion and abduction when the elbows are more flexed. The biarticulate long head of the triceps brachii [1 ] enters active insufficiency through the completion of elbow extension when the shoulders are more extended and adducted (other heads of the triceps become more active) or through the completion of shoulder extension and adduction when the elbows are more extended.When the shoulder is internally rotated, the ability of the long head of the triceps brachii to extend and adduct the shoulder is diminished. The shoulder must be externally rotated in order for the long head of the triceps brachii to assist shoulder adduction.~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLqPleVuDZWZjK8njUqj1hXGC6msOATrJ1Y4ouJa2RaYKESb5fovl8hhS902E&amp;s
Biceps Brachii~7~2~Arm (Front)BicepsBiceps Cubiti~Long Head (Outer)Short Head (Inner)~BrachialisBrachioradialis~The biceps brachii is a stronger elbow flexor when the radioulnar joint (forearm) is supinated. The biceps brachii is a stronger forearm supinator when the elbow is flexed.During elbow flexion, motor units in the lateral portion of the long head of the biceps are preferentially activated, whereas during forearm rotation, motor units in the medial portion are preferentially activated (ter Haar Romeny 1984).During a dynamic elbow flexion, the biceps is more readily activated than the brachialis. Alternatively, the brachialis becomes more readily activated during isometric elbow flexion (Tax 1989).The biceps brachii enhances dynamic stability of the shoulder joint through initial range of motion of shoulder flexion although its moment arm is relatively small (Landin 2017).The triarticulate biceps brachii muscles, particularly the short head [2 ] enters passive insufficiency through the completion of elbow extension when the shoulders are more extended or through the completion of shoulder extension when the elbows are more extended. The triarticulate biceps brachii muscles, particularly the short head [2 ] enters active insufficiency through the completion of elbow flexion when the shoulders are more flexed (brachialis becomes more active) or through the completion of shoulder flexion when the elbows are more flexed.ReferencesLandin D, Thompson M, Jackson MR (2017). Actions of the Biceps Brachii at the Shoulder: A Review. J Clin Med Res. 9(8): 667-670.Tax AA, van der Gon JJ, Gielen CC, van den Tempel CM (1989). Differences in the activation of m. biceps brachii in the control of slow isotonic movements and isometric contractions. Exp Brain Res. 76, 55–63.ter Haar Romeny BM, van der Gon JJ, Gielen CC (1984). Relation between location of a motor unit in the human biceps brachii and its critical firing levels for different tasks. Exp Neurol. 85(3): 631-50.~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE0FI9H4q7uhKd8QchQn7W9SKfpQQGLMiJRIWfLYsNWpjUV7LleMflN03wdg&amp;s
Brachialis~8~2~Arm (Side)Lower Biceps~Brachialis~Biceps BrachiiBrachioradialis~The brachialis muscle belly is located towards the distal half of the arm and is largely covered by biceps brachii.The brachialis flexes the arm along with other elbow flexor muscles, whether in pronation or supination. It is the only pure elbow flexor since it pulls on the ulna which does not rotate. (Thompson &amp; Floyd 1994)At the initiation of elbow flexion, the brachialis is highly activated since its line of pull is more perpendicular to the ulna as compared to the biceps&#39; insertion to the radius.The brachialis becomes more readily activated during isometric elbow flexion. During a dynamic elbow flexion, the biceps is more readily activated than the brachialis. (Tax 1989)~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThx5Tuz2Ix7Sshrthqybp1qaw_hjxbwXv6ShBNF3ympl9jDv5VvK-ap79HCFE&amp;s
Brachioradialis~9~3~Forearm (Upper-outer),Supinator longus (out dated)~Brachioradialis~BrachialisBiceps Brachii~The brachioradialis is a stronger elbow flexor when the radioulnar joint (forearm) is in a midposition between supination and pronation. When the forearm is pronated, the brachioradialis is more active during elbow flexion since the biceps brachii is in a mechanical disadvantage.When the forearm is pronated, the brachioradialis tends to supinate as it flexes. In a supinated position, it tends to pronate as it flexes.~https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9pdJUIhdvO4FrkSf7HmXKsfwaiSYEy4n4IL2PCWWd5atLktzCJoyoVJd-mg&amp;s
